Kansas City Chiefs,Arrowhead Stadium,"76,416","Kansas City, Missouri",American Football Conference,Latitude 36 Bermuda Grass,Open,Justin Houston
Dallas Cowboys,AT&T Stadium,"80,000","Arlington, Texas",National Football Conference,Matrix RealGrass artificial turf,Retractable,Dez Bryant
Carolina Panthers,Bank of America Stadium,"75,419","Charlotte, North Carolina",National Football Conference,Voyager Bermuda Grass,Open,Cam Newton
Seattle Seahawks,CenturyLink Field,"68,000","Seattle, Washington",National Football Conference,FieldTurf Revolution,Open,Russel Wilson
Jacksonville Jaguars,EverBank Field,"67,246","Jacksonville, Florida",American Football Conference,Tifway 419 Bermuda Grass,Open,Allen Robinson
Washington Redskins,FedExField,"82,000","Landover, Maryland",National Football Conference,Latitude 36 Bermuda Grass,Open,Trent Williams
Cleveland Browns,FirstEnergy Stadium,"67,431","Cleveland, Ohio",American Football Conference,Kentucky Bluegrass,Open,Josh Gordon
Detroit Lions,Ford Field,"65,000","Detroit, Michigan",National Football Conference,FieldTurf Classic HD,Fixed,Matt Stafford
Atlanta Falcons,Georgia Dome,"71,250","Atlanta, Georgia",National Football Conference,FieldTurf Classic HD,Fixed,Julio Jones
New England Patriots,Gillette Stadium,"66,829","Foxborough, Massachusetts",American Football Conference,FieldTurf Revolution,Open,Tom Brady
Miami Dolphins,Hard Rock Stadium,"65,326","Miami Gardens, Florida",American Football Conference,Platinum TE Paspalum,Open,Ndamukong Suh
Pittsburgh Steelers,Heinz Field,"68,400","Pittsburgh, Pennsylvania",American Football Conference,Kentucky Bluegrass,Open,Antonio Brown
Green Bay Packers,Lambeau Field,"81,435","Green Bay, Wisconsin",National Football Conference,Hybrid Grass-Synthetic,Open,Aaron Rodgers
San Francisco 49ers,Levi's Stadium,"68,500","Santa Clara, California",National Football Conference,Tifway II Bermuda Grass / Perennial Ryegrass mixture,Open,Navarro Bowman
Philadelphia Eagles,Lincoln Financial Field,"69,596","Philadelphia, Pennsylvania",National Football Conference,Desso GrassMaster,Open,Fletcher Cox
Los Angeles Rams,Los Angeles Memorial Coliseum,"93,607","Los Angeles, California",National Football Conference,Santa Ana Bermuda Grass,Open,Aaron Donald
Indianapolis Colts,Lucas Oil Stadium,"67,000","Indianapolis, Indiana",American Football Conference,FieldTurf Classic HD,Retractable,Andrew Luck
Baltimore Ravens,M&T Bank Stadium,"71,008","Baltimore, Maryland",American Football Conference,Tifway 419 Bermuda Grass,Open,Joe Flacco
New Orleans Saints,Mercedes-Benz Superdome,"73,000","New Orleans, Louisiana",National Football Conference,UBU Sports Speed Series S5-M (synthetic turf),Fixed,Drew Brees
New York Giants,MetLife Stadium,"82,500","East Rutherford, New Jersey",National Football Conference,UBU Speed Series S5-M Synthetic Turf,Open,Odell Beckham
New York Jets,MetLife Stadium,"82,500","East Rutherford, New Jersey",American Football Conference,UBU Speed Series S5-M Synthetic Turf,Open,Muhammad Wilkerson
Buffalo Bills,Ralph Wilson Stadium,"71,608","Orchard Park, New York",American Football Conference,A-Turf Titan 50 (artificial),Open,Sammy Watkins
Tennessee Titans,Nissan Stadium,"69,143","Nashville, Tennessee",American Football Conference,TifSport Bermuda Grass,Open,Marcus Mariota
Houston Texans,NRG Stadium,"72,220","Houston, Texas",American Football Conference,UBU Sports Speed Series S5-M ,Retractable,J.J. Watt
Oakland Raiders,Oakland Alameda Coliseum,"56,063","Oakland, California",American Football Conference,Tifway II Bermuda Grass,Open,Khalil Mack
Cincinnati Bengals,Paul Brown Stadium,"65,515","Cincinnati, Ohio",American Football Conference,UBU Speed Series S5-M Synthetic Turf,Open,A. J. Green
Los Angeles Chargers,Stub Hub Stadium,"28,000","Carson, California",American Football Conference,Bandera Bermuda Grass,Open,Keenan Allen
Tampa Bay Buccaneers,Raymond James Stadium,"65,890","Tampa, Florida",National Football Conference,Tifway 419 Bermuda Grass,Open,Jameis Winston
Chicago Bears,Soldier Field,"61,500","Chicago, Illinois",National Football Conference,Kentucky Bluegrass,Open,Pernell McPhee
Denver Broncos,Sports Authority Field at Mile High,"76,125","Denver, Colorado",American Football Conference,Kentucky Bluegrass,Open,Von Miller
Minnesota Vikings,U.S. Bank Stadium,"73,000","Minneapolis, Minnesota",National Football Conference,UBU Speed Series S5-M Synthetic Turf,Fixed,Adrian Peterson
Arizona Cardinals,University of Phoenix Stadium,"63,400","Glendale, Arizona",National Football Conference,Tifway 419 Bermuda Grass,Retractable,Tyran Mathieu
